Valid Path,Path Number,Destination Coordinate,Destination Index,Fusion Lineage(s),Final Glyph(s),,
auiiua,224,"(2, 2, 2)",26,"awiiwa, awiyua, oIwa, oiyua","awiiwa, awiyua, oIwa, oiyua",,
iauiau,225,"(2, 2, 2)",26,"yauyau, yauyo, yawio, yoyau, yoyo","yauyau, yauyo, yawio, yoyau, yoyo",,
aiuaui,226,"(2, 2, 2)",26,"ayuawi, ayuoi, ewawi, ewoi","ayuawi, ayuoi, ewawi, ewoi",,
iiuuaa,227,"(2, 2, 2)",26,"IUA, Iuwaa, iyuuA, iyuwaa","IUA, Iuwaa, iyuuA, iyuwaa",,
uauiia,228,"(2, 2, 2)",26,"wauIa, wawiya, woIa, woiya","wauIa, wawiya, woIa, woiya",,
iiaauu,229,"(2, 2, 2)",26,"IAU, Iaou, iyaaU, iyaou","IAU, Iaou, iyaaU, iyaou",,
uaiaiu,230,"(2, 2, 2)",26,"uEu, wayayu, wayeu, weayu, weeu","uEu, wayayu, wayeu, weayu, weeu",,
uiaiau,231,"(2, 2, 2)",26,"uyayau, uyayo, uyeo, wiayau, wiayo, wieo","uyayau, uyayo, uyeo, wiayau, wiayo, wieo",,
iuaaui,232,"(2, 2, 2)",26,"iwaawi, iwaoi, yuAwi, yuaoi","iwaawi, iwaoi, yuAwi, yuaoi",,
aauuii,233,"(2, 2, 2)",26,"AUI, Auwii, aouI, aowii","AUI, Auwii, aouI, aowii",,
iuiaua,234,"(2, 2, 2)",26,"iwiawa, iwioa, yuyawa, yuyoa","iwiawa, iwioa, yuyawa, yuyoa",,
auuiai,235,"(2, 2, 2)",26,"aUyai, aUye, ouyai, ouye, owie","aUyai, aUye, ouyai, ouye, owie",,
aiiuua,236,"(2, 2, 2)",26,"aIUa, aIuwa, eiUa, eyuwa","aIUa, aIuwa, eiUa, eyuwa",,
uaiuia,237,"(2, 2, 2)",26,"waiwia, wayuya, weuya, wewia","waiwia, wayuya, weuya, wewia",,
uiuiaa,238,"(2, 2, 2)",26,"uyuiA, uyuyaa, wiuyaa, wiwiA","uyuiA, uyuyaa, wiuyaa, wiwiA",,
iaaiuu,239,"(2, 2, 2)",26,"iAiU, iAyuu, yaayuu, yaeU","iAiU, iAyuu, yaayuu, yaeU",,
uiiaau,240,"(2, 2, 2)",26,"uIAu, uIao, wiiAu, wiyao","uIAu, uIao, wiiAu, wiyao",,
